Employement_Key,unemployement_rate,avg_hours_worked,avg_salary
1,5.079999924,1787.01,"58,092"
2,4.619999886,1787.35,
3,4.619999886,1785.88,
4,5.78000021,1765.77,
5,9.25,1728.61,
6,9.630000114,1735.01,"61,048"
7,8.949999809,1744.91,"61,132"
8,8.069999695,1746.86,"61,634"
9,7.369999886,1752.53,"61,347"
10,6.170000076,1758.27,"62,263"
11,5.28000021,1770.02,"63,845"
12,4.869999886,1766.74,"63,942"
13,4.360000134,1763.73,"64,618"
14,3.900000095,1774.70,"65,303"
15,3.670000076,1765.35,"66,383"
16,8.050000191,,"69,392"
17,6.760000229,1744.02,"45,824"
18,6.320000172,1743.54,
19,6.039999962,1742.93,
20,6.139999866,1740.31,
21,8.340000153,1710.84,
22,8.06000042,1714.21,"50,024"
23,7.510000229,1712.65,"50,512"
24,7.289999962,1720.63,"51,289"
25,7.070000172,1714.94,"51,924"
26,6.909999847,1709.60,"52,557"
27,6.909999847,1710.78,"52,968"
28,7,1705.19,"52,019"
29,6.340000153,1693.78,"52,765"
30,5.829999924,1707.06,"53,730"
31,5.659999847,1689.28,"54,119"
32,9.460000038,,"55,342"
33,3.559999943,2105,"16,111"
34,3.569999933,2067,
35,3.630000114,2045,
36,3.869999886,2105,
37,5.360000134,1973,
38,5.300000191,2150,"17,484"
39,5.170000076,2121,"16,407"
40,4.889999866,2120,"16,555"
41,4.909999847,2136,"16,258"
42,4.809999943,2134,"16,271"
43,4.309999943,2140,"16,302"
44,3.859999895,2146,"16,516"
45,3.420000076,2148,"16,322"
46,3.279999971,2149,"16,277"
47,3.480000019,2137,"16,637"
48,4.449999809,,"16,771"
49,3.099999905,,"16,230"
50,2.648999929,,
51,2.203000069,,
52,1.710000038,,
53,1.26699996,,
54,0.778999984,,
55,0.319999993,,
56,2.180000067,,
57,1.368999958,,
58,0.519999981,,
59,0.529999971,,
60,0.533999979,,
61,0.541999996,,
62,0.545000017,,
63,0.55400002,,
64,0.624000013,,
65,3.546999931,,
66,3.671999931,,
67,3.788000107,,
68,3.91899991,,
69,4.048999786,,
70,4.170000076,,
71,4.294000149,,
72,4.397999763,,
73,4.510000229,,
74,4.679999828,,
75,4.742000103,,
76,4.663000107,,
77,4.663000107,,
78,4.659999847,,
79,4.649000168,,
80,5.195000172,,
81,0.871999979,,
82,0.910000026,,
83,0.925000012,,
84,0.941999972,,
85,0.958999991,,
86,0.963999987,,
87,1,,
88,1.006000042,,
89,1.029000044,,
90,1.046000004,,
91,1.07099998,,
92,1.103999972,,
93,1.118999958,,
94,1.129999995,,
95,1.123000026,,
96,1.741999984,,
97,7.670000076,2587.2727,
98,6.5,2597.6512,
99,5.96999979,2591.9428,
100,5.21999979,2586.7206,
101,5.849999905,2581.9488,
102,4.78000021,2577.616,
103,4.119999886,2491.9499,
104,3.880000114,2405.7834,
105,4.239999771,2319.5667,
106,4.190000057,2366.9433,
107,4.519999981,2418.7508,
108,4.239999771,2473.509,
109,4.050000191,2418.8827,
110,4.320000172,2418.8827,
111,4.349999905,2418.8827,
112,5.877999783,,
113,4.25,1887.6926,
114,3.589999914,1835.4296,
115,4.126999855,1861.298,
116,4.566999912,1823.991,
117,5,1810.6287,
118,3.380000114,1872.3361,
119,3.770999908,1993.6793,
120,4.118999958,2052.9533,
121,4.429999828,1896.6603,
122,4.383999825,1926.3551,
123,4.366000175,1924.0125,
124,4.349999905,1922.449,
125,4.369999886,1922.5132,
126,4.413000107,1922.5132,
127,4.438000202,1922.5132,
128,5.413000107,,
129,2.5,,
130,2.470000029,,
131,2.434999943,,
132,2.405999899,,
133,2.380000114,,
134,2.338999987,,
135,2.312000036,,
136,2.286999941,,
137,2.25,,
138,2.262000084,,
139,2.273999929,,
140,2.288000107,,
141,2.299000025,,
142,2.318000078,,
143,2.325999975,,
144,3.236999989,,
