nutrition_key,pct_undernourished,pct_overweight,low_birthweight,anemia_child,severe_wasting_child,stunting_child,vitaminA_supplement
1,0.025,0.619,0.0815,0.059,,,
2,0.025,0.625,0.0818,0.058,0.002,0.031,
3,0.025,0.631,0.0819,0.058,,,
4,0.025,0.637,0.0818,0.058,0.001,0.023,
5,0.025,0.642,0.0816,0.058,,,
6,0.025,0.648,0.0813,0.058,,0.028,
7,0.025,0.653,0.081,0.058,,,
8,0.025,0.658,0.0807,0.058,,0.022,
9,0.025,0.664,0.0804,0.058,,,
10,0.025,0.669,0.0802,0.058,,0.024,
11,0.025,0.674,0.0802,0.058,,,
12,0.025,0.679,,0.059,0.001,0.035,
13,0.025,,,0.059,,,
14,0.025,,,0.06,,0.034,
15,0.025,,,0.061,,,
16,,,,,,,
17,0.025,0.586,0.0597,0.103,,,
18,0.025,0.592,0.0601,0.103,,,
19,0.025,0.597,0.0605,0.103,,,
20,0.025,0.602,0.0608,0.103,,,
21,0.025,0.607,0.061,0.104,,,
22,0.025,0.612,0.0613,0.104,,,
23,0.025,0.617,0.0616,0.105,,,
24,0.025,0.622,0.0619,0.107,,,
25,0.025,0.627,0.0624,0.109,,,
26,0.025,0.632,0.063,0.112,,,
27,0.025,0.637,0.0638,0.115,,,
28,0.025,0.641,,0.118,,,
29,0.025,,,0.122,,,
30,0.025,,,0.127,,,
31,0.025,,,0.132,,,
32,,,,,,,
33,0.044,0.589,0.0797,0.28,,,
34,0.041,0.595,0.0794,0.275,0.004,0.155,
35,0.041,0.601,0.0789,0.269,,,
36,0.045,0.606,0.0786,0.263,,,
37,0.048,0.612,0.0788,0.257,,,
38,0.05,0.617,0.0793,0.251,,,
39,0.049,0.623,0.0796,0.245,,,
40,0.048,0.628,0.0795,0.239,0.004,0.136,
41,0.043,0.633,0.0792,0.234,,,
42,0.044,0.639,0.079,0.229,,,
43,0.05,0.644,0.0787,0.225,0.004,0.124,
44,0.058,0.649,,0.222,0.003,0.1,
45,0.061,,,0.219,,,
46,0.062,,,0.217,,,
47,0.072,,,0.217,0.004,0.141,
48,,,,,,,
49,,0.169,,0.815,,,0.94
50,,0.173,,0.808,0.031,0.51,0.88
51,,0.177,,0.8,0.03,0.492,0.99
52,,0.182,,0.793,0.031,0.438,0.92
53,,0.186,,0.785,0.023,0.455,0.95
54,,0.191,,0.778,0.036,0.474,0.98
55,,0.195,,0.771,0.022,0.509,0.95
56,,0.2,,0.765,0.027,0.399,0.98
57,,0.205,,0.76,0.025,0.425,0.96
58,,0.21,,0.756,0.027,0.422,0.95
59,,0.215,,0.751,0.035,0.464,0.99
60,,0.22,,0.745,0.021,0.413,0.94
61,,,,0.738,,,0.53
62,,,,0.729,0.03,0.485,0.64
63,,,,0.72,0.024,0.471,
64,,,,,,,
65,0.467,0.22,0.1642,0.797,0.042,0.45,0.99
66,0.437,0.225,0.1621,0.792,,,0.93
67,0.417,0.23,0.1601,0.788,,,0.86
68,0.403,0.235,0.1578,0.784,,,0.12
69,0.345,0.24,0.1555,0.781,,,0.99
70,0.288,0.245,0.1534,0.779,0.016,0.327,0.99
71,0.24,0.25,0.1514,0.777,,,0.99
72,0.243,0.255,0.1494,0.776,,,0.99
73,0.253,0.261,0.1475,0.774,,,0.99
74,0.25,0.266,0.1457,0.771,0.01,0.291,0.08
75,0.258,0.272,0.1442,0.768,,,0.97
76,0.254,0.277,,0.762,,,0.99
77,0.262,,,0.754,0.01,0.293,0.98
78,0.257,,,0.745,,,0.69
79,0.262,,,0.734,0.011,0.295,
80,,,,,,,
81,0.378,0.181,,0.773,,,0.93
82,0.384,0.185,,0.769,,,0.58
83,0.392,0.189,,0.764,,,0.5
84,0.401,0.193,,0.759,,,
85,0.384,0.198,,0.754,,,0.61
86,0.363,0.202,,0.749,0.063,0.387,
87,0.336,0.207,,0.744,,,
88,0.336,0.211,,0.739,,,
89,0.313,0.216,,0.734,,,0.91
90,0.299,0.221,,0.727,,,0.96
91,0.28,0.226,,0.719,0.044,0.398,0.85
92,0.285,0.231,,0.709,,,
93,0.291,,,0.695,0.036,0.321,0.67
94,0.304,,,0.68,0.04,0.319,0.7
95,0.317,,,0.663,0.045,0.378,
96,,,,,,,
97,0.147,0.168,0.1729,0.293,,,0.14
98,0.141,0.174,0.1731,0.286,,,0.53
99,0.128,0.179,0.1728,0.279,0.031,0.181,
100,0.119,0.184,0.1722,0.271,,,
101,0.114,0.19,0.1711,0.265,0.019,0.192,
102,0.113,0.196,0.1697,0.26,,,0.96
103,0.109,0.201,0.168,0.255,,,0.86
104,0.103,0.207,0.166,0.251,0.03,0.146,0.91
105,0.092,0.213,0.1638,0.249,,,0.89
106,0.081,0.22,0.1614,0.247,,,0.72
107,0.068,0.226,0.1589,0.246,,,0.74
108,0.063,0.233,,0.246,0.031,0.173,0.45
109,0.059,,,0.247,,,0.93
110,0.06,,,0.249,,,
111,0.068,,,0.251,,,
112,,,,,,,
113,0.142,0.138,0.3271,0.506,0.019,0.459,0.82
114,0.138,0.143,0.3213,0.496,0.016,0.451,0.89
115,0.139,0.148,0.3156,0.486,0.029,0.432,0.94
116,0.136,0.153,0.3102,0.477,,,0.97
117,0.147,0.158,0.3048,0.468,,,0.91
118,0.152,0.164,0.2997,0.461,,,
119,0.157,0.17,0.2946,0.454,0.041,0.413,
120,0.155,0.176,0.2898,0.449,,,0.94
121,0.151,0.182,0.2856,0.444,0.049,0.387,0.97
122,0.142,0.188,0.2817,0.44,0.032,0.362,
123,0.14,0.194,0.2781,0.438,,,0.99
124,0.133,0.2,,0.435,,,0.99
125,0.125,,,0.433,,,0.99
126,0.108,,,0.431,0.015,0.309,
127,0.097,,,0.431,0.023,0.28,
128,,,,,,,
129,0.371,0.159,,0.585,0.047,0.5,0.58
130,0.356,0.163,,0.569,,,0.8
131,0.35,0.167,,0.553,,,0.86
132,0.335,0.171,,0.538,,,0.88
133,0.297,0.176,,0.526,,,0.84
134,0.276,0.18,,0.516,,,0.84
135,0.26,0.185,,0.51,0.029,0.444,0.71
136,0.253,0.189,,0.506,,,0.31
137,0.218,0.194,,0.504,,,0.79
138,0.178,0.199,,0.503,0.027,0.404,0.71
139,0.148,0.204,,0.505,,,0.74
140,0.138,0.209,,0.509,0.03,0.383,0.79
141,0.14,,,0.512,,,0.77
142,0.144,,,0.516,,,0.48
143,0.162,,,0.521,0.012,0.368,
144,,,,,,,
