substance_key,pct_drug_use,pct_tobacco_use,pct_alcohol_disorder,drug_use_death_rate,pct_drug_use_male,pct_drug_use_female,death_rate_smoking
1,0.0287,0.291,0.0256,0.0767,0.0337,0.0238,119.92
2,0.0291,0.291,0.0256,0.0812,0.0341,0.0241,116.39
3,0.0294,0.291,0.0256,0.0837,0.0345,0.0244,112.64
4,0.0298,0.279,0.0256,0.0863,0.035,0.0247,110.27
5,0.0301,0.279,0.0256,0.0894,0.0354,0.025,107.13
6,0.0305,0.279,0.0256,0.0928,0.0359,0.0253,103.62
7,0.0311,0.272,0.0256,0.099,0.0365,0.0258,101.96
8,0.0319,0.272,0.0255,0.105,0.0373,0.0266,99.69
9,0.0328,0.264,0.0254,0.1136,0.0382,0.0275,97.75
10,0.0337,0.264,0.0253,0.1254,0.039,0.0285,96.07
11,0.0346,0.257,0.0252,0.1418,0.0397,0.0295,94.7
12,0.0356,0.257,0.025,0.1621,0.0403,0.0309,93.89
13,0.0364,0.251,0.0248,0.1752,0.0409,0.0319,92.24
14,0.0367,0.251,0.0248,0.1808,0.0414,0.0321,92.63
15,0.037,0.251,0.0249,0.1883,0.042,0.032,92.49
16,0.037,0.251,0.0249,,,,
17,0.022,0.281,0.0197,0.0306,0.0275,0.0168,98.88
18,0.0225,0.281,0.0197,0.0316,0.0281,0.0172,95.3
19,0.0233,0.281,0.0195,0.033,0.029,0.0179,92.95
20,0.0242,0.247,0.0194,0.0342,0.0301,0.0186,90.04
21,0.025,0.247,0.0193,0.0355,0.0311,0.0193,86.54
22,0.0256,0.247,0.0193,0.0366,0.0317,0.0198,82.73
23,0.026,0.226,0.0193,0.0382,0.0321,0.0201,79.7
24,0.0263,0.226,0.0194,0.0405,0.0325,0.0204,77.69
25,0.0266,0.226,0.0194,0.0432,0.0328,0.0207,75.52
26,0.027,0.207,0.0194,0.0469,0.0332,0.021,74.07
27,0.0273,0.207,0.0195,0.0511,0.0335,0.0213,71.84
28,0.0277,0.191,0.0198,0.0546,0.0342,0.0216,70.44
29,0.028,0.191,0.0201,0.0581,0.0346,0.0216,69.15
30,0.0277,0.175,0.02,0.0602,0.0343,0.0213,69.9
31,0.0272,0.175,0.0197,0.0628,0.0338,0.0209,69.42
32,0.0272,0.175,0.0197,,,,
33,0.0052,0.194,0.0146,0.0047,0.0062,0.0043,62.02
34,0.0052,0.194,0.0145,0.0044,0.0062,0.0043,58.89
35,0.0052,0.194,0.0145,0.0043,0.0063,0.0043,56.45
36,0.0052,0.177,0.0145,0.0042,0.0063,0.0042,57.01
37,0.0053,0.177,0.0145,0.0041,0.0064,0.0042,56.67
38,0.0053,0.177,0.0145,0.0038,0.0065,0.0042,54.58
39,0.0053,0.167,0.0145,0.0037,0.0065,0.0043,52.21
40,0.0054,0.167,0.0144,0.0037,0.0065,0.0043,50.57
41,0.0054,0.167,0.0143,0.0038,0.0066,0.0044,50.84
42,0.0055,0.157,0.0143,0.0038,0.0067,0.0045,49.34
43,0.0056,0.157,0.0142,0.0039,0.0067,0.0045,47.58
44,0.0056,0.148,0.0138,0.0041,0.0068,0.0046,46.17
45,0.0057,0.148,0.0135,0.0043,0.0068,0.0047,46.01
46,0.0057,0.139,0.0136,0.0046,0.0068,0.0047,44.5
47,0.0058,0.139,0.0139,0.0046,0.0069,0.0047,43.92
48,0.0058,0.139,0.0139,,,,
49,0.003,0.08,0.0047,0.0012,0.0039,0.0021,28.58
50,0.003,0.08,0.0046,0.0011,0.0039,0.0021,28.43
51,0.003,0.08,0.0046,0.0011,0.004,0.0021,28.29
52,0.003,0.081,0.0046,0.0011,0.004,0.0022,27.76
53,0.003,0.081,0.0046,0.0011,0.004,0.0022,27.72
54,0.003,0.081,0.0046,0.0011,0.004,0.0022,27.67
55,0.003,0.083,0.0046,0.0011,0.004,0.0022,27.78
56,0.003,0.083,0.0046,0.0011,0.0039,0.0022,27.82
57,0.003,0.083,0.0046,0.0011,0.0039,0.0021,27.91
58,0.003,0.084,0.0046,0.0012,0.0039,0.0021,27.95
59,0.003,0.084,0.0046,0.0012,0.0039,0.0021,28.36
60,0.003,0.084,0.0046,0.0012,0.0039,0.0021,28.55
61,0.003,0.084,0.0046,0.0012,0.004,0.0022,28.72
62,0.003,0.086,0.0046,0.0013,0.004,0.0022,28.69
63,0.003,0.086,0.0047,0.0012,0.004,0.0022,28.22
64,0.003,0.086,0.0047,,,,
65,0.0035,0.286,0.005,0.0016,0.0046,0.0025,77.09
66,0.0035,0.286,0.005,0.0016,0.0046,0.0025,76.42
67,0.0035,0.286,0.005,0.0016,0.0046,0.0025,75.87
68,0.0035,0.257,0.005,0.0016,0.0046,0.0025,73.66
69,0.0035,0.257,0.005,0.0016,0.0046,0.0025,72.66
70,0.0035,0.257,0.005,0.0016,0.0046,0.0025,72.25
71,0.0035,0.24,0.005,0.0017,0.0046,0.0025,71.05
72,0.0035,0.24,0.005,0.0017,0.0046,0.0024,69.85
73,0.0035,0.24,0.005,0.0017,0.0047,0.0024,67.98
74,0.0035,0.225,0.005,0.0017,0.0047,0.0024,66.19
75,0.0035,0.225,0.005,0.0018,0.0047,0.0024,65.44
76,0.0036,0.211,0.005,0.0018,0.0048,0.0025,64.22
77,0.0036,0.211,0.005,0.0018,0.0048,0.0025,63.79
78,0.0036,0.198,0.005,0.0019,0.0048,0.0025,63.51
79,0.0036,0.198,0.0051,0.0019,0.0048,0.0025,62.57
80,0.0036,0.198,0.0051,,,,
81,0.0028,0.136,0.0049,0.0015,0.0038,0.0019,71.29
82,0.0028,0.136,0.0049,0.0015,0.0038,0.0019,70.32
83,0.0028,0.136,0.0049,0.0015,0.0038,0.0019,69.66
84,0.0028,0.13,0.005,0.0015,0.0038,0.0019,69.21
85,0.0028,0.13,0.005,0.0015,0.0038,0.0019,68.47
86,0.0028,0.13,0.005,0.0015,0.0038,0.0019,67.75
87,0.0028,0.126,0.005,0.0016,0.0038,0.0019,67.01
88,0.0028,0.126,0.005,0.0016,0.0038,0.0019,66.01
89,0.0028,0.126,0.0049,0.0016,0.0039,0.0019,64.45
90,0.0029,0.123,0.0049,0.0016,0.0039,0.0019,62.91
91,0.0029,0.123,0.0049,0.0016,0.0039,0.0019,61.61
92,0.0029,0.121,0.0049,0.0016,0.0039,0.0019,60.1
93,0.0029,0.121,0.0049,0.0017,0.0039,0.002,58.76
94,0.0029,0.118,0.005,0.0017,0.0039,0.002,57.61
95,0.0029,0.118,0.0051,0.0017,0.0039,0.002,56.1
96,0.0029,0.118,0.0051,,,,
97,0.0062,0.255,0.0103,0.0088,0.0074,0.0051,77.51
98,0.0062,0.255,0.0102,0.0078,0.0074,0.0051,76.4
99,0.0062,0.255,0.01,0.0077,0.0073,0.0051,74.34
100,0.0061,0.246,0.0098,0.0069,0.0073,0.0051,73.66
101,0.0061,0.246,0.0096,0.0058,0.0072,0.0051,69.01
102,0.0061,0.246,0.0094,0.0053,0.0072,0.0051,67.44
103,0.0061,0.241,0.0093,0.0055,0.0072,0.0051,66.59
104,0.0061,0.241,0.0091,0.0053,0.0071,0.0051,64.61
105,0.006,0.241,0.0089,0.0049,0.0071,0.005,60.22
106,0.006,0.236,0.0088,0.0051,0.0071,0.005,58.15
107,0.006,0.236,0.0087,0.0053,0.0071,0.005,54.33
108,0.0061,0.233,0.0087,0.0054,0.0071,0.0051,52.07
109,0.0061,0.233,0.0087,0.0055,0.0072,0.0051,50.17
110,0.0061,0.229,0.0087,0.0057,0.0072,0.0052,47.16
111,0.0061,0.229,0.0087,0.0057,0.0072,0.0052,46.14
112,0.0061,0.229,0.0087,,,,
113,0.0033,0.455,0.0113,0.002,0.0029,0.0036,138.15
114,0.0033,0.455,0.0114,0.002,0.003,0.0036,138.31
115,0.0033,0.455,0.0114,0.002,0.003,0.0037,134.49
116,0.0034,0.435,0.0114,0.0019,0.003,0.0038,126.9
117,0.0034,0.435,0.0115,0.0019,0.003,0.0038,120.35
118,0.0035,0.435,0.0115,0.0019,0.0031,0.0039,115.87
119,0.0035,0.423,0.0114,0.0018,0.0031,0.0039,102.19
120,0.0036,0.423,0.0112,0.0017,0.0031,0.004,91.16
121,0.0036,0.423,0.0111,0.0017,0.0032,0.004,88.17
122,0.0036,0.411,0.0109,0.0018,0.0032,0.004,89.05
123,0.0037,0.411,0.0108,0.0017,0.0032,0.0041,85.45
124,0.0037,0.401,0.0109,0.0017,0.0032,0.0041,84.57
125,0.0037,0.401,0.011,0.0019,0.0032,0.0041,87.87
126,0.0037,0.391,0.0113,0.0019,0.0032,0.0041,87.13
127,0.0037,0.391,0.0116,0.002,0.0032,0.0041,86.37
128,0.0037,0.391,0.0116,,,,
129,0.0034,0.058,0.022,0.0035,0.0045,0.0023,32.29
130,0.0034,0.058,0.0225,0.0035,0.0045,0.0023,30.64
131,0.0034,0.058,0.0236,0.0035,0.0045,0.0023,29
132,0.0034,0.055,0.025,0.0036,0.0045,0.0023,27.46
133,0.0034,0.055,0.0261,0.0039,0.0045,0.0023,26.07
134,0.0034,0.055,0.0266,0.0035,0.0045,0.0023,25.06
135,0.0034,0.052,0.0265,0.0035,0.0045,0.0023,24.25
136,0.0034,0.052,0.0264,0.0034,0.0045,0.0023,23.59
137,0.0034,0.052,0.0263,0.0034,0.0045,0.0022,22.91
138,0.0034,0.05,0.0262,0.0034,0.0045,0.0022,22.43
139,0.0034,0.05,0.0262,0.0034,0.0045,0.0022,22
140,0.0034,0.048,0.0262,0.0035,0.0045,0.0023,21.71
141,0.0034,0.048,0.0262,0.0036,0.0046,0.0023,21.47
142,0.0034,0.046,0.0263,0.0037,0.0046,0.0023,21.35
143,0.0034,0.046,0.0265,0.0038,0.0046,0.0023,21.24
144,0.0034,0.046,0.0265,,,,
