employement_key,unemployement_rate,avg_hours_worked,avg_salary,woman_non_agricultural,physicians,nurses_and_midwives
1,0.050799999,1787.01,58092,0.473,,0.099177
2,0.046199999,1787.35,,0.473,,
3,0.046199999,1785.88,,0.474,,
4,0.057800002,1765.77,,0.477,,
5,0.0925,1728.61,,0.483,,
6,0.096300001,1735.01,61048,0.483,,0.125927
7,0.089499998,1744.91,61132,0.478,,
8,0.080699997,1746.86,61634,0.478,,
9,0.073699999,1752.53,61347,0.477,,
10,0.061700001,1758.27,62263,,,
11,0.052800002,1770.02,63845,,,
12,0.048699999,1766.74,63942,,,
13,0.043600001,1763.73,64618,,,0.145812
14,0.039000001,1774.7,65303,,0.026036,0.15685
15,0.036700001,1765.35,66383,,,
16,0.080500002,,69392,,,
17,0.067600002,1744.02,45824,0.491,,0.099467
18,0.063200002,1743.54,,0.492,0.019086,0.100236
19,0.0604,1742.93,,0.496,,0.101208
20,0.061399999,1740.31,,0.497,0.01959,0.10289
21,0.083400002,1710.84,,0.504,,0.103743
22,0.080600004,1714.21,50024,0.502,0.020384,0.093233
23,0.075100002,1712.65,50512,0.498,,0.092368
24,0.0729,1720.63,51289,0.498,0.023962,0.093473
25,0.070700002,1714.94,51924,0.497,0.024509,0.094788
26,0.069099998,1709.6,52557,,0.024961,0.097475
27,0.069099998,1710.78,52968,,0.025388,0.098188
28,0.07,1705.19,52019,,0.023105,0.099194
29,0.063400002,1693.78,52765,,0.026102,0.099491
30,0.058299999,1707.06,53730,,0.024251,0.099874
31,0.056599998,1689.28,54119,,0.024425,0.11812
32,0.0946,,55342,,,
33,0.035599999,2105,16111,0.391,0.035303,0.022053
34,0.035699999,2067,,0.393,0.03762,0.022215
35,0.036300001,2045,,0.394,0.03843,0.022832
36,0.038699999,2105,,0.394,0.038988,0.023066
37,0.053600001,1973,,0.397,0.039581,0.023624
38,0.053000002,2150,17484,0.394,0.039972,0.024118
39,0.051700001,2121,16407,0.396,0.042008,0.025093
40,0.048899999,2120,16555,0.4,0.042236,0.025488
41,0.049099998,2136,16258,0.403,0.04311,0.028044
42,0.048099999,2134,16271,,0.044526,0.026798
43,0.043099999,2140,16302,,0.046493,0.024177
44,0.038599999,2146,16516,,0.046488,0.025103
45,0.034200001,2148,16322,,0.047654,0.025078
46,0.0328,2149,16277,,0.048496,0.03149
47,0.0348,2137,16637,,,0.023646
48,0.044499998,,16771,,,
49,0.030999999,,16230,0.254,,
50,0.026489999,,,0.272,,
51,0.022030001,,,0.304,,
52,0.0171,,,0.361,0.000189,0.001387
53,0.01267,,,,0.000277,0.002039
54,0.00779,,,,,
55,0.0032,,,,,
56,0.021800001,,,,0.000535,
57,0.01369,,,,0.000511,0.002229
58,0.0052,,,,0.000272,0.003066
59,0.0053,,,,0.000472,0.002038
60,0.00534,,,,0.000433,0.002695
61,0.00542,,,,,
62,0.00545,,,,,0.002234
63,0.00554,,,,,
64,0.00624,,,,,
65,0.035469999,,,,,
66,0.036719999,,,,,
67,0.037880001,,,,,
68,0.039189999,,,,0.000155,0.001435
69,0.040489998,,,,,
70,0.041700001,,,,0.000212,0.001437
71,0.042940001,,,,0.000251,0.002669
72,0.043979998,,,,,
73,0.045100002,,,,,
74,0.046799998,,,,,0.009538
75,0.047420001,,,,,0.008189
76,0.046630001,,,,,0.007468
77,0.046630001,,,,,0.007986
78,0.046599998,,,,0.00074,0.007525
79,0.046490002,,,,,
80,0.051950002,,,,,
81,0.00872,,,,,
82,0.0091,,,,0.000352,0.001808
83,0.00925,,,,,
84,0.00942,,,,,
85,0.00959,,,,,
86,0.00964,,,,,
87,0.01,,,,,
88,0.01006,,,,0.000413,0.002782
89,0.01029,,,,0.000433,0.003383
90,0.01046,,,,0.000445,0.002639
91,0.01071,,,,0.000493,0.002525
92,0.01104,,,,0.000371,0.002133
93,0.01119,,,,0.000434,0.002322
94,0.0113,,,,,
95,0.01123,,,,0.000542,0.001377
96,0.01742,,,,,
97,0.076700001,2587.2727,,0.311,0.005218,0.014077
98,0.065,2597.6512,,0.346,0.005219,0.016715
99,0.059699998,2591.9428,,0.331,0.005555,0.020501
100,0.052199998,2586.7206,,0.342,0.006244,
101,0.058499999,2581.9488,,0.331,0.006826,
102,0.047800002,2577.616,,0.327,0.007239,0.017455
103,0.041199999,2491.9499,,0.323,0.007391,0.018234
104,0.038800001,2405.7834,,0.324,0.007645,0.018325
105,0.042399998,2319.5667,,0.324,0.007983,0.018401
106,0.041900001,2366.9433,,,0.008364,0.019132
107,0.0452,2418.7508,,,0.008624,0.019606
108,0.042399998,2473.509,,,0.008925,0.019477
109,0.040500002,2418.8827,,,0.009277,0.019966
110,0.043200002,2418.8827,,,0.010041,0.021803
111,0.043499999,2418.8827,,,0.011539,0.022604
112,0.058779998,,,,,
113,0.0425,1887.6926,,0.201,0.003084,0.002839
114,0.035899999,1835.4296,,,0.003167,0.002841
115,0.041269999,1861.298,,,0.003293,0.001625
116,0.045669999,1823.991,,,0.00342,0.001623
117,0.05,1810.6287,,,0.003544,0.001714
118,0.033800001,1872.3361,,0.183,0.003635,0.00183
119,0.037709999,1993.6793,,,0.003839,0.001932
120,0.04119,2052.9533,,,0.004001,0.002067
121,0.044299998,1896.6603,,,0.004218,0.0021
122,0.043839998,1926.3551,,,0.004887,0.00256
123,0.043660002,1924.0125,,,0.004858,0.00275
124,0.043499999,1922.449,,,0.004974,0.002639
125,0.043699999,1922.5132,,,0.005433,0.003163
126,0.044130001,1922.5132,,,0.005809,0.004123
127,0.044380002,1922.5132,,,0.006367,0.003916
128,0.054130001,,,,,
129,0.025,,,0.438,0.000321,0.002464
130,0.0247,,,0.413,0.000269,0.002274
131,0.024349999,,,,0.000224,0.002249
132,0.024059999,,,,0.000251,0.002022
133,0.023800001,,,0.397,0.000252,0.002521
134,0.02339,,,0.416,,
135,0.02312,,,0.395,,
136,0.022869999,,,0.416,,
137,0.0225,,,0.388,,
138,0.022620001,,,,,
139,0.022739999,,,,,
140,0.022880001,,,,,
141,0.02299,,,,,0.008286
142,0.023180001,,,,0.000769,0.007135
143,0.02326,,,,,
144,0.03237,,,,,
